id;gen;sp;ssp;categories;group;en;rec;cnt;loc;lat;lng;alt;type;sex;stage;method;url;file;file-name;sono;osci;lic;q;length;time;date;uploaded;also;rmk;bird-seen;animal-seen;playback-used;temp;regnr;auto;dvc;mic;smp;fullfilename;filename
231237;Tinamus;major;;Tinamus major_Great Tinamou;birds;Great Tinamou;Peter Boesman;Peru;Pantiacolla Lodge, Madre de Dios;-12.65;-71.2333333333;;song;;;field recording;//xeno-canto.org/231237;https://xeno-canto.org/231237/download;XC231237-Great Tinamou A 32.mp3;{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231237-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231237-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231237-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231237-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC231237-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC231237-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC231237-large.png'};//creativecommons.org/licenses/by-nc-nd/4.0/;A;00:26;17:00;2009-07-26;2015-03-23;[];ID certainty 100%. (Archiv. tape 545 side A track 15 seq. A);unknown;unknown;unknown;;;no;;;32000;test/species/Tinamus major_Great Tinamou/XC231237.mp3;XC231237.mp3
17471;Tinamus;major;;Tinamus major_Great Tinamou;birds;Great Tinamou;Andrew Spencer;Ecuador;Humedal del Yalare, Esmeraldas;1.1001;-78.8501;30;song;;;field recording;//xeno-canto.org/17471;https://xeno-canto.org/17471/download;Little Tinamou2008-1-19.mp3;{'small': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC17471-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC17471-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC17471-large.png', 'full': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC17471-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/wave/XC17471-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/wave/XC17471-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/wave/XC17471-large.png'};//creativecommons.org/licenses/by-nc-nd/2.5/;A;00:09;11:30;2008-01-19;2008-11-20;[];;unknown;unknown;unknown;;;no;;;48000;test/species/Tinamus major_Great Tinamou/XC17471.mp3;XC17471.mp3
104125;Tinamus;major;;Tinamus major_Great Tinamou;birds;Great Tinamou;Myornis;Colombia;Santa Cecilia, Serrania de San Lucas;7.9759;-74.2153;1550;song, dusk song;;;field recording;//xeno-canto.org/104125;https://xeno-canto.org/104125/download;Disc 19 track 009 Tinamus major with D mentalis alarm note.mp3;{'small': '//xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC104125-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC104125-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC104125-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/XC104125-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/OXSIOLJJUP/wave/XC104125-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OXSIOLJJUP/wave/XC104125-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OXSIOLJJUP/wave/XC104125-large.png'};//creativecommons.org/licenses/by-nc-nd/2.5/;E;00:07;17:30;2010-01-08;2012-06-21;['Dysithamnus mentalis'];;unknown;unknown;unknown;;;no;;;44100;test/species/Tinamus major_Great Tinamou/XC104125.mp3;XC104125.mp3
117353;Tinamus;major;;Tinamus major_Great Tinamou;birds;Great Tinamou;Mauricio Álvarez Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt);Colombia;PNN Chiribiquete, Solano, Caquetá;0.2605556;-72.92333;350;song;;;field recording;//xeno-canto.org/117353;https://xeno-canto.org/117353/download;XC117353-4 Audio Track.mp3;{'small': '//xeno-canto.org/sounds/uploaded/XMFDPACYJN/ffts/XC117353-small.png', 'med': '//xeno-canto.org/sounds/uploaded/XMFDPACYJN/ffts/XC117353-med.png', 'large': '//xeno-canto.org/sounds/uploaded/XMFDPACYJN/ffts/XC117353-large.png', 'full': '//xeno-canto.org/sounds/uploaded/XMFDPACYJN/ffts/XC117353-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/XMFDPACYJN/wave/XC117353-small.png', 'med': '//xeno-canto.org/sounds/uploaded/XMFDPACYJN/wave/XC117353-med.png', 'large': '//xeno-canto.org/sounds/uploaded/XMFDPACYJN/wave/XC117353-large.png'};//creativecommons.org/licenses/by-nc-sa/3.0/;C;00:18;?;2000-01-01;2013-01-11;[];"IAvH-CSA 1837

To obtain a wav file of the original recording, please contact csa@humboldt.org.co";unknown;unknown;no;;;no;;;44100;test/species/Tinamus major_Great Tinamou/XC117353.mp3;XC117353.mp3
231236;Tinamus;major;;Tinamus major_Great Tinamou;birds;Great Tinamou;Peter Boesman;Panama;Darien Cana;7.8333333333;-77.6666666667;600 - 1700;song;;;field recording;//xeno-canto.org/231236;https://xeno-canto.org/231236/download;XC231236-Great Tinamou  19.mp3;{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231236-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231236-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231236-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231236-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC231236-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC231236-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC231236-large.png'};//creativecommons.org/licenses/by-nc-nd/4.0/;A;00:45;18:00;1995-04-15;2015-03-23;[];ID certainty 100%. (Archiv. tape 28 side B track 14 seq. A);unknown;unknown;unknown;;;no;;;44100;test/species/Tinamus major_Great Tinamou/XC231236.mp3;XC231236.mp3
358477;Tinamus;major;;Tinamus major_Great Tinamou;birds;Great Tinamou;Kent Livezey;Panama;Pipeline Road, Soberania National Park;9.1332;-79.7195;70;song;;;field recording;//xeno-canto.org/358477;https://xeno-canto.org/358477/download;XC358477-little tinamou_2017.03.09 612hrs.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC358477-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC358477-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC358477-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC358477-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SZFQBBYSTI/wave/XC358477-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SZFQBBYSTI/wave/XC358477-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SZFQBBYSTI/wave/XC358477-large.png'};//creativecommons.org/licenses/by-nc-nd/4.0/;A;01:53;06:12;2017-03-09;2017-03-10;['Euphonia fulvicrissa', 'Sclerurus guatemalensis', 'Xiphorhynchus susurrans', 'Vireolanius pulchellus', 'Amazona autumnalis'];;no;no;no;;;no;;;44100;test/species/Tinamus major_Great Tinamou/XC358477.mp3;XC358477.mp3
192238;Tinamus;major;;Tinamus major_Great Tinamou;birds;Great Tinamou;Jim Holmes;Costa Rica;Puntarenas;9.7804;-84.6061;30;song;;;field recording;//xeno-canto.org/192238;https://xeno-canto.org/192238/download;XC192238-Great Tinamou _2_.mp3;{'small': '//xeno-canto.org/sounds/uploaded/FIDXCHEYJO/ffts/XC192238-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FIDXCHEYJO/ffts/XC192238-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FIDXCHEYJO/ffts/XC192238-large.png', 'full': '//xeno-canto.org/sounds/uploaded/FIDXCHEYJO/ffts/XC192238-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/FIDXCHEYJO/wave/XC192238-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FIDXCHEYJO/wave/XC192238-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FIDXCHEYJO/wave/XC192238-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;B;00:31;06:00;2014-07-25;2014-08-23;[];;no;no;no;;;no;;;48000;test/species/Tinamus major_Great Tinamou/XC192238.mp3;XC192238.mp3
456424;Tinamus;major;;Tinamus major_Great Tinamou;birds;Great Tinamou;Brice de la Croix;French Guiana;Roura, Crique Saint-Georges;4.6294;-52.3958;10;song;;;field recording;//xeno-canto.org/456424;https://xeno-canto.org/456424/download;XC456424-Grand Tinamou:Crique Saint-Georges:02-02-19.mp3;{'small': '//xeno-canto.org/sounds/uploaded/LNPOUHUARA/ffts/XC456424-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LNPOUHUARA/ffts/XC456424-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LNPOUHUARA/ffts/XC456424-large.png', 'full': '//xeno-canto.org/sounds/uploaded/LNPOUHUARA/ffts/XC456424-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/LNPOUHUARA/wave/XC456424-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LNPOUHUARA/wave/XC456424-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LNPOUHUARA/wave/XC456424-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;C;00:37;18:00;2019-02-02;2019-02-11;[];Very unusual vocalizations at dusk;no;no;no;;;no;;;44100;test/species/Tinamus major_Great Tinamou/XC456424.mp3;XC456424.mp3
231248;Tinamus;major;;Tinamus major_Great Tinamou;birds;Great Tinamou;Peter Boesman;Mexico;Bonampak, Chiapas;16.7;-91.0833333333;;song;;;field recording;//xeno-canto.org/231248;https://xeno-canto.org/231248/download;XC231248-Great Tinamou C 24.mp3;{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231248-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231248-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231248-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC231248-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC231248-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC231248-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC231248-large.png'};//creativecommons.org/licenses/by-nc-nd/4.0/;C;00:11;10:00;2003-04-10;2015-03-23;[];ID certainty 100%. (Archiv. tape 165 side A track 2 seq. A);unknown;unknown;unknown;;;no;;;44100;test/species/Tinamus major_Great Tinamou/XC231248.mp3;XC231248.mp3
686892;Tinamus;major;;Tinamus major_Great Tinamou;birds;Great Tinamou;Jacob Wijpkema;Bolivia;Extrema;-11.4667;-69.2501;260;song;female, male;;field recording;//xeno-canto.org/686892;https://xeno-canto.org/686892/download;XC686892-211015_4305a.mp3;{'small': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC686892-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC686892-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC686892-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/ffts/XC686892-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/wave/XC686892-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/wave/XC686892-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WETAASKWUP/wave/XC686892-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;01:31;21:25;2021-10-15;2021-11-16;[];"This was original a recording of about 105 minutes. To reduce the lenght we reduced the interval between songs from 20 minutes to 20 seconds. 
The habitat: mainly bamboo and scrub, a few tall trees were left. 
";no;no;no;;;no;;;44100;test/species/Tinamus major_Great Tinamou/XC686892.mp3;XC686892.mp3
